id,instruction,response,test_list
34,nth ডেলানয় সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।,"def dealnnoy_num(n, m): 
	if (m == 0 or n == 0) : 
		return 1
	return dealnnoy_num(m - 1, n) + dealnnoy_num(m - 1, n - 1) + dealnnoy_num(m, n - 1)","""['assert dealnnoy_num(3, 4) == 129', 'assert dealnnoy_num(3, 3) == 63', 'assert dealnnoy_num(4, 5) == 681']"""
35,সিরিজ 12+22+32+....+n2 এর যোগফল গণনা করার জন্য একটি ফাংশন লিখুন।,"def series_sum(number):
 total = 0
 total = (number * (number + 1) * (2 * number + 1)) / 6
 return total","""['assert series_sum(6)==91', 'assert series_sum(7)==140', 'assert series_sum(12)==650']"""
36,প্রদত্ত ক্রমিক তালিকার উপর ভিত্তি করে প্রদত্ত টুপলগুলিকে পুনরায় সাজানোর জন্য একটি ফাংশন লিখুন।,"def re_arrange_tuples(test_list, ord_list):
  temp = dict(test_list)
  res = [(key, temp[key]) for key in ord_list]
  return (res) ","""['assert re_arrange_tuples([(4, 3), (1, 9), (2, 10), (3, 2)],  [1, 4, 2, 3]) == [(1, 9), (4, 3), (2, 10), (3, 2)]', 'assert re_arrange_tuples([(5, 4), (2, 10), (3, 11), (4, 3)],  [3, 4, 2, 3]) == [(3, 11), (4, 3), (2, 10), (3, 11)]', 'assert re_arrange_tuples([(6, 3), (3, 8), (5, 7), (2, 4)],  [2, 5, 3, 6]) == [(2, 4), (5, 7), (3, 8), (6, 3)]']"""
37,একটি প্রদত্ত স্ট্রিংয়ের সবচেয়ে সাধারণ অক্ষর গণনা করার জন্য একটি ফাংশন লিখুন।,"from collections import Counter 
def max_char(str1):
    temp = Counter(str1) 
    max_char = max(temp, key = temp.get)
    return max_char","""['assert max_char(\""hello world\"")==(\\'l\\')', 'assert max_char(\""hello \"")==(\\'l\\')', 'assert max_char(\""python pr\"")==(\\'p\\')']"""
38,তিনটি সাজানো অ্যারে থেকে তিনটি নিকটতম উপাদান খুঁজে পেতে একটি ফাংশন লিখুন।,"import sys 

def find_closet(A, B, C, p, q, r): 
	diff = sys.maxsize 
	res_i = 0
	res_j = 0
	res_k = 0
	i = 0
	j = 0
	k = 0
	while(i < p and j < q and k < r): 
		minimum = min(A[i], min(B[j], C[k])) 
		maximum = max(A[i], max(B[j], C[k])); 
		if maximum-minimum < diff: 
			res_i = i 
			res_j = j 
			res_k = k 
			diff = maximum - minimum; 
		if diff == 0: 
			break
		if A[i] == minimum: 
			i = i+1
		elif B[j] == minimum: 
			j = j+1
		else: 
			k = k+1
	return A[res_i],B[res_j],C[res_k]","""['assert find_closet([1, 4, 10],[2, 15, 20],[10, 12],3,3,2) == (10, 15, 10)', 'assert find_closet([20, 24, 100],[2, 19, 22, 79, 800],[10, 12, 23, 24, 119],3,5,5) == (24, 22, 23)', 'assert find_closet([2, 5, 11],[3, 16, 21],[11, 13],3,3,2) == (11, 16, 11)']"""
39,ল্যাম্বদা ফাংশন ব্যবহার করে অভিধানের তালিকা সাজানোর জন্য একটি ফাংশন লিখুন।,"def sorted_models(models):
 sorted_models = sorted(models, key = lambda x: x['color'])
 return sorted_models","""[\""assert sorted_models([{'make':'Nokia', 'model':216, 'color':'Black'}, {'make':'Mi Max', 'model':2, 'color':'Gold'}, {'make':'Samsung', 'model': 7, 'color':'Blue'}])==[{'make': 'Nokia', 'model': 216, 'color': 'Black'}, {'make': 'Samsung', 'model': 7, 'color': 'Blue'}, {'make': 'Mi Max', 'model': 2, 'color': 'Gold'}]\"", \""assert sorted_models([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])==([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])\"", \""assert sorted_models([{'make':'micromax','model':40,'color':'grey'},{'make':'poco','model':60,'color':'blue'}])==([{'make':'poco','model':60,'color':'blue'},{'make':'micromax','model':40,'color':'grey'}])\""]"""
40,একটি ফাংশন লিখুন যা হিপ সোর্ট ব্যবহার করে প্রদত্ত অ্যারে বাছাই করে।,"def heap_sort(arr):
    heapify(arr)  
    end = len(arr) - 1
    while end > 0:
        arr[end], arr[0] = arr[0], arr[end]
        shift_down(arr, 0, end - 1)
        end -= 1
    return arr

def heapify(arr):
    start = len(arr) // 2
    while start >= 0:
        shift_down(arr, start, len(arr) - 1)
        start -= 1
def shift_down(arr, start, end):
    root = start
    while root * 2 + 1 <= end:
        child = root * 2 + 1
        if child + 1 <= end and arr[child] < arr[child + 1]:
            child += 1
        if child <= end and arr[root] < arr[child]:
            arr[root], arr[child] = arr[child], arr[root]
            root = child
        else:
            return
","""['assert heap_sort([12, 2, 4, 5, 2, 3]) == [2, 2, 3, 4, 5, 12]', 'assert heap_sort([32, 14, 5, 6, 7, 19]) == [5, 6, 7, 14, 19, 32]', 'assert heap_sort([21, 15, 29, 78, 65]) == [15, 21, 29, 65, 78]']"""
41,একটি ফাংশন লিখুন যাতে একটি তালিকার উপাদানগুলি গণনা করা যায় যতক্ষণ না একটি উপাদান একটি টুপল হয়।,"def count_elim(num):
  count_elim = 0
  for n in num:
    if isinstance(n, tuple):
        break
    count_elim += 1
  return count_elim","""['assert count_elim([10,20,30,(10,20),40])==3', 'assert count_elim([10,(20,30),(10,20),40])==1', 'assert count_elim([(10,(20,30,(10,20),40))])==0']"""
42,প্রদত্ত তালিকায় কোন তালিকা উপাদান উপস্থিত আছে কিনা তা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।,"def check_element(test_tup, check_list):
  res = False
  for ele in check_list:
    if ele in test_tup:
      res = True
      break
  return (res) ","""['assert check_element((4, 5, 7, 9, 3),  [6, 7, 10, 11]) == True', 'assert check_element((1, 2, 3, 4),  [4, 6, 7, 8, 9]) == True', 'assert check_element((3, 2, 1, 4, 5),  [9, 8, 7, 6]) == False']"""
43,heapq মডিউল ব্যবহার করে দুটি প্রদত্ত বাছাই করা তালিকা একত্রিত করার জন্য একটি ফাংশন লিখুন।,"from heapq import merge
def combine_lists(num1,num2):
  combine_lists=list(merge(num1, num2))
  return combine_lists","""['assert combine_lists([1, 3, 5, 7, 9, 11],[0, 2, 4, 6, 8, 10])==[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]', 'assert combine_lists([1, 3, 5, 6, 8, 9], [2, 5, 7, 11])==[1,2,3,5,5,6,7,8,9,11]', 'assert combine_lists([1,3,7],[2,4,6])==[1,2,3,4,6,7]']"""
44,একটি প্রদত্ত স্ট্রিং এর সংখ্যা এবং তাদের অবস্থান পৃথক এবং মুদ্রণ করার জন্য একটি ফাংশন লিখুন।,"import re
def num_position(text):
 for m in re.finditer(""\d+"", text):
    return m.start()","""['assert num_position(\""there are 70 flats in this apartment\"")==10', 'assert num_position(\""every adult have 32 teeth\"")==17', 'assert num_position(\""isha has 79 chocolates in her bag\"")==9']"""
45,প্রদত্ত টুপলগুলিকে সেটে রূপান্তর করার জন্য একটি ফাংশন লিখুন।,"def tuple_to_set(t):
  s = set(t)
  return (s) ","""[\""assert tuple_to_set(('x', 'y', 'z') ) == {'y', 'x', 'z'}\"", \""assert tuple_to_set(('a', 'b', 'c') ) == {'c', 'a', 'b'}\"", \""assert tuple_to_set(('z', 'd', 'e') ) == {'d', 'e', 'z'}\""]"""
46,একটি নির্দিষ্ট পাঠ্যের সবচেয়ে সাধারণ উপাদান এবং তাদের গণনা খুঁজে পেতে একটি ফাংশন লিখুন।,"from collections import Counter 
def most_common_elem(s,a):
  most_common_elem=Counter(s).most_common(a)
  return most_common_elem","""[\""assert most_common_elem('lkseropewdssafsdfafkpwe',3)==[('s', 4), ('e', 3), ('f', 3)] \"", \""assert most_common_elem('lkseropewdssafsdfafkpwe',2)==[('s', 4), ('e', 3)]\"", \""assert most_common_elem('lkseropewdssafsdfafkpwe',7)==[('s', 4), ('e', 3), ('f', 3), ('k', 2), ('p', 2), ('w', 2), ('d', 2)]\""]"""
47,সবচেয়ে ছোট শব্দের দৈর্ঘ্য খুঁজে বের করার জন্য একটি পাইথন ফাংশন লিখুন।,"def len_log(list1):
    min=len(list1[0])
    for i in list1:
        if len(i)<min:
            min=len(i)
    return min","""['assert len_log([\""win\"",\""lose\"",\""great\""]) == 3', 'assert len_log([\""a\"",\""ab\"",\""abc\""]) == 1', 'assert len_log([\""12\"",\""12\"",\""1234\""]) == 2']"""
48,একটি টুপেলের একটি আইটেম পেতে একটি ফাংশন লিখুন।,"def get_item(tup1,index):
  item = tup1[index]
  return item","""['assert get_item((\""w\"", 3, \""r\"", \""e\"", \""s\"", \""o\"", \""u\"", \""r\"", \""c\"", \""e\""),3)==(\\'e\\')', 'assert get_item((\""w\"", 3, \""r\"", \""e\"", \""s\"", \""o\"", \""u\"", \""r\"", \""c\"", \""e\""),-4)==(\\'u\\')', 'assert get_item((\""w\"", 3, \""r\"", \""e\"", \""s\"", \""o\"", \""u\"", \""r\"", \""c\"", \""e\""),-3)==(\\'r\\')']"""
49,একটি ফাংশন লিখুন যা প্রদত্ত টিপল তালিকার ভিত্তিতে টিপলের মোট সংখ্যা সাজায়।,"def count_digs(tup):
  return sum([len(str(ele)) for ele in tup ]) 
def sort_list(test_list):
  test_list.sort(key = count_digs)
  return (str(test_list))","""[\""assert sort_list([(3, 4, 6, 723), (1, 2), (12345,), (134, 234, 34)] ) == '[(1, 2), (12345,), (3, 4, 6, 723), (134, 234, 34)]'\"", \""assert sort_list([(3, 4, 8), (1, 2), (1234335,), (1345, 234, 334)] ) == '[(1, 2), (3, 4, 8), (1234335,), (1345, 234, 334)]'\"", \""assert sort_list([(34, 4, 61, 723), (1, 2), (145,), (134, 23)] ) == '[(1, 2), (145,), (134, 23), (34, 4, 61, 723)]'\""]"""
